,國文檢定_code,英文檢定_code,數學檢定_code,社會檢定_code,自然檢定_code,國文倍率,英文倍率,數學倍率,社會倍率,自然倍率,學校名稱_code,學校名稱_encoded,學系名稱_trim,學系代碼,國文採計,英文採計,數學採計,社會採計,自然採計,自設科目組合_code,自設科目組合倍率,unitier,預定甄試人數,甄試費用,口試佔比,書審佔比,cluster
1415,0,0,0,0,0,-1.0,-3.4011973816621555,-3.4011973816621555,-0.9030899869919435,-3.4011973816621555,37,大葉大學,多媒體數位內容學士學位學程(遊戲組),042442,0.0,0.0,0.0,0.0,0.0,13,5.0,2,75,600,0.8,0.2,2
1422,0,0,0,12,0,-1.4771212547196624,-3.4011973816621555,-3.4011973816621555,-1.3010299956639813,-3.4011973816621555,37,大葉大學,烘焙暨飲料調製學士學位學程,042352,6.0,0.0,0.0,6.0,0.0,13,3.0,2,120,600,0.7,0.2,2
1557,12,0,0,0,0,-1.0791812460476249,-1.3010299956639813,-3.4011973816621555,-3.4011973816621555,-3.4011973816621555,37,大葉大學,醫療器材設計與材料學士學位學程,042382,0.0,0.0,0.0,0.0,0.0,24,0.0,3,48,600,0.7,0.2,3
1599,0,0,0,12,0,-3.4011973816621555,-0.47712125471966244,-3.4011973816621555,-0.47712125471966244,-3.4011973816621555,37,大葉大學,消防安全學士學位學程,042102,0.0,0.0,0.0,0.0,0.0,24,0.0,3,102,300,0.8,0.0,2
1809,0,0,0,0,0,-1.0,-3.4011973816621555,-3.4011973816621555,-0.9030899869919435,-3.4011973816621555,37,大葉大學,多媒體數位內容學士學位學程(動畫組),042432,0.0,0.0,0.0,0.0,0.0,13,5.0,1,175,600,0.8,0.2,2
2102,0,0,0,0,0,-1.0,-3.4011973816621555,-3.4011973816621555,-0.9030899869919435,-3.4011973816621555,37,大葉大學,多媒體數位內容學士學位學程(2D美術組),042452,0.0,0.0,0.0,0.0,0.0,13,5.0,2,130,600,0.8,0.2,2
1486,0,0,0,0,0,-1.0,-3.4011973816621555,-3.4011973816621555,-0.9030899869919435,-3.4011973816621555,37,大葉大學,空間設計學系建築組,042502,0.0,0.0,0.0,0.0,0.0,13,3.5,2,98,600,0.7,0.3,2
1799,12,0,0,0,0,-0.5440680443502757,-0.5440680443502757,-3.4011973816621555,-3.4011973816621555,-3.4011973816621555,37,大葉大學,生物資源學系(醫藥微生物組),042292,0.0,0.0,0.0,0.0,0.0,24,0.0,1,46,600,0.7,0.2,3
1441,0,0,0,0,12,-1.1760912590556813,-3.4011973816621555,-3.4011973816621555,-3.4011973816621555,-0.6532125137753437,37,大葉大學,食品暨應用生物科技學系(健康生技組),042252,0.0,0.0,0.0,0.0,0.0,24,0.0,2,50,600,0.8,0.2,1
1916,0,0,0,0,12,-1.1760912590556813,-3.4011973816621555,-3.4011973816621555,-3.4011973816621555,-0.6989700043360189,37,大葉大學,食品暨應用生物科技學系(食品科學組),042242,0.0,0.0,0.0,0.0,0.0,24,0.0,2,50,600,0.8,0.2,1
