,國文檢定_code,英文檢定_code,數學檢定_code,社會檢定_code,自然檢定_code,國文倍率,英文倍率,數學倍率,社會倍率,自然倍率,tsnepos1,tsnepos2,學校名稱_code,學校名稱_encoded,學系名稱_trim,學系代碼,國文採計,英文採計,數學採計,社會採計,自然採計,自設科目組合_code,自設科目組合倍率,unitier,預定甄試人數,甄試費用,口試佔比,書審佔比,cluster
689,0,0,0,0,0,29.999999999999996,29.999999999999996,29.999999999999996,29.999999999999996,29.999999999999996,-15.538723,-16.479158,44,國立臺灣藝術大學,中國音樂學系擊樂組,056132,0.0,0.0,0.0,0.0,0.0,24,0.0,2,20,1500,0.0,0.0,7
764,25,12,0,0,0,5.000000000000001,5.000000000000001,29.999999999999996,29.999999999999996,29.999999999999996,4.852836,42.75554,44,國立臺灣藝術大學,美術學系,056142,0.0,0.0,0.0,0.0,0.0,24,0.0,1,50,1500,0.17,0.23,3
793,0,0,0,0,0,29.999999999999996,29.999999999999996,29.999999999999996,29.999999999999996,29.999999999999996,-16.876432,-17.745674,44,國立臺灣藝術大學,中國音樂學系擦弦組(二)-低音擦弦,056122,0.0,0.0,0.0,0.0,0.0,24,0.0,1,30,1500,0.0,0.0,7
944,25,25,25,0,0,3.0,3.0,3.0,29.999999999999996,29.999999999999996,23.752779,18.159428,44,國立臺灣藝術大學,多媒體動畫藝術學系,056202,0.0,0.0,0.0,0.0,0.0,24,0.0,3,30,1500,0.2,0.4,4
1047,0,0,0,0,0,29.999999999999996,29.999999999999996,29.999999999999996,29.999999999999996,29.999999999999996,-14.893352,-17.185575,44,國立臺灣藝術大學,中國音樂學系撥弦組,056102,0.0,0.0,0.0,0.0,0.0,24,0.0,2,50,1500,0.0,0.0,7
1052,12,12,0,0,0,29.999999999999996,29.999999999999996,29.999999999999996,29.999999999999996,29.999999999999996,-9.686271,-8.23989,44,國立臺灣藝術大學,音樂學系,056052,0.0,0.0,0.0,0.0,0.0,24,0.0,2,690,100,0.0,0.0,7
1189,0,0,0,0,0,29.999999999999996,29.999999999999996,29.999999999999996,29.999999999999996,29.999999999999996,-16.871298,-17.213118,44,國立臺灣藝術大學,中國音樂學系聲樂組,056072,0.0,0.0,0.0,0.0,0.0,24,0.0,2,30,1500,0.0,0.0,7
1227,0,0,0,0,0,29.999999999999996,29.999999999999996,29.999999999999996,29.999999999999996,29.999999999999996,-14.8490095,-17.542448,44,國立臺灣藝術大學,中國音樂學系作曲組,056062,0.0,0.0,0.0,0.0,0.0,24,0.0,2,10,1500,0.0,0.0,7
1301,12,12,0,12,0,29.999999999999996,29.999999999999996,29.999999999999996,29.999999999999996,29.999999999999996,-18.435019,-6.0828733,44,國立臺灣藝術大學,雕塑學系,056162,0.0,0.0,0.0,0.0,0.0,24,0.0,2,39,1500,0.0,0.0,7
1361,0,0,0,0,0,29.999999999999996,29.999999999999996,29.999999999999996,29.999999999999996,29.999999999999996,-15.644066,-17.658861,44,國立臺灣藝術大學,中國音樂學系管樂組,056082,0.0,0.0,0.0,0.0,0.0,24,0.0,2,50,1500,0.0,0.0,7
667,25,25,12,25,0,9.0,9.0,9.0,9.0,29.999999999999996,-16.282095,20.825962,44,國立臺灣藝術大學,戲劇學系,056042,0.0,0.0,0.0,0.0,0.0,24,0.0,3,180,1500,0.2,0.0,2
